iter	Passed	Remaining
1009	42004	82760
1010	42045	82718
1011	42082	82667
1012	42123	82625
1013	42164	82582
1014	42207	82544
1015	42248	82501
1016	42286	82451
1017	42323	82401
1018	42361	82353
1019	42398	82302
1020	42441	82263
1021	42479	82215
1022	42517	82167
1023	42557	82123
1024	42601	82085
1025	42639	82037
1026	42684	82002
1027	42722	81954
1028	42766	81916
1029	42808	81875
1030	42844	81824
1031	42886	81783
1032	42927	81741
1033	42967	81695
1034	43009	81654
1035	43053	81619
1036	43093	81573
1037	43131	81525
1038	43170	81480
1039	43219	81452
1040	43259	81406
1041	43300	81364
1042	43340	81319
1043	43381	81277
1044	43419	81229
1045	43459	81185
1046	43497	81136
1047	43540	81098
1048	43580	81053
1049	43618	81006
1050	43659	80963
1051	43698	80916
1052	43736	80868
1053	43774	80820
1054	43813	80773
1055	43853	80730
1056	43890	80681
1057	43931	80637
1058	43973	80596
1059	44018	80562
1060	44062	80524
1061	44099	80475
1062	44143	80437
1063	44181	80390
1064	44219	80342
1065	44258	80296
1066	44297	80250
1067	44337	80206
1068	44376	80159
1069	44415	80114
1070	44454	80068
1071	44496	80027
1072	44537	79985
1073	44578	79942
1074	44616	79894
1075	44655	79849
1076	44695	79805
1077	44735	79759
1078	44776	79717
1079	44814	79670
1080	44855	79627
1081	44891	79576
1082	44931	79533
1083	44975	79494
1084	45015	79451
1085	45056	79408
1086	45097	79367
1087	45137	79322
1088	45178	79280
1089	45218	79235
1090	45258	79191
1091	45298	79147
1092	45336	79100
1093	45373	79050
1094	45415	79010
1095	45456	78968
1096	45501	78932
1097	45542	78890
1098	45583	78847
1099	45621	78801
1100	45662	78758
1101	45709	78727
1102	45748	78681
1103	45787	78635
1104	45827	78591
1105	45870	78551
1106	45906	78501
1107	45950	78464
1108	45989	78418
1109	46027	78371
1110	46079	78347
1111	46140	78340
1112	46186	78304
1113	46223	78256
1114	46263	78212
1115	46303	78167
1116	46344	78126
1117	46384	78081
1118	46427	78043
1119	46468	78001
1120	46509	77958
1121	46548	77913
1122	46584	77861
1123	46623	77816
1124	46664	77774
1125	46708	77736
1126	46749	77693
1127	46787	77647
1128	46832	77611
1129	46870	77565
1130	46908	77516
1131	46950	77476
1132	46989	77431
1133	47031	77389
1134	47069	77343
1135	47105	77293
1136	47144	77247
1137	47185	77204
1138	47225	77160
1139	47267	77121
1140	47307	77076
1141	47344	77027
1142	47383	76982
1143	47422	76937
1144	47463	76895
1145	47502	76849
1146	47540	76801
1147	47585	76767
1148	47622	76718
1149	47664	76677
1150	47707	76638
1151	47747	76594
1152	47787	76551
1153	47829	76510
1154	47869	76466
1155	47908	76420
1156	47947	76375
1157	47987	76331
1158	48029	76291
1159	48070	76249
1160	48112	76209
1161	48153	76166
1162	48200	76134
1163	48242	76094
1164	48281	76048
1165	48315	75995
1166	48356	75952
1167	48395	75907
1168	48437	75867
1169	48476	75822
1170	48516	75779
1171	48555	75733
1172	48590	75682
1173	48633	75643
1174	48671	75596
1175	48711	75552
1176	48753	75511
1177	48790	75464
1178	48826	75414
1179	48868	75372
1180	48906	75326
1181	48942	75277
1182	48987	75240
1183	49023	75191
1184	49065	75150
1185	49107	75110
1186	49149	75069
1187	49191	75028
1188	49232	74987
1189	49273	74945
1190	49312	74900
1191	49351	74855
1192	49389	74808
1193	49432	74770
1194	49470	74723
1195	49514	74685
1196	49552	74638
1197	49588	74590
1198	49623	74538
1199	49666	74499
1200	49705	74454
1201	49745	74411
1202	49782	74364
1203	49826	74326
1204	49864	74279
1205	49908	74242
1206	49950	74202
